Installed Packages
perl-PathTools.x86_64                         3.74-1.el8                              @ubi-8-baseos   
perl-Pod-Escapes.noarch                       1:1.07-395.el8                          @ubi-8-baseos   
perl-Pod-Perldoc.noarch                       3.28-396.el8                            @ubi-8-baseos   
perl-Pod-Simple.noarch                        1:3.35-395.el8                          @ubi-8-baseos   
perl-Pod-Usage.noarch                         4:1.69-395.el8                          @ubi-8-baseos   
perl-Scalar-List-Utils.x86_64                 3:1.49-2.el8                            @ubi-8-baseos   
perl-Socket.x86_64                            4:2.027-3.el8                           @ubi-8-baseos   
perl-Storable.x86_64                          1:3.11-3.el8                            @ubi-8-baseos   
perl-Term-ANSIColor.noarch                    4.06-396.el8                            @ubi-8-baseos   
perl-Term-Cap.noarch                          1.17-395.el8                            @ubi-8-baseos   
perl-TermReadKey.x86_64                       2.37-7.el8                              @ubi-8-appstream
perl-Text-ParseWords.noarch                   3.30-395.el8                            @ubi-8-baseos   
perl-Text-Tabs+Wrap.noarch                    2013.0523-395.el8                       @ubi-8-baseos   
perl-Time-Local.noarch                        1:1.280-1.el8                           @ubi-8-baseos   
perl-URI.noarch                               1.73-3.el8                              @ubi-8-appstream
perl-Unicode-Normalize.x86_64                 1.25-396.el8                            @ubi-8-baseos   
perl-constant.noarch                          1.33-396.el8                            @ubi-8-baseos   
perl-interpreter.x86_64                       4:5.26.3-420.el8                        @ubi-8-baseos   
perl-libnet.noarch                            3.11-3.el8                              @ubi-8-appstream
perl-libs.x86_64                              4:5.26.3-420.el8                        @ubi-8-baseos   
perl-macros.x86_64                            4:5.26.3-420.el8                        @ubi-8-baseos   
perl-parent.noarch                            1:0.237-1.el8                           @ubi-8-baseos   
perl-podlators.noarch                         4.11-1.el8                              @ubi-8-baseos   
perl-threads.x86_64                           1:2.21-2.el8                            @ubi-8-baseos   
perl-threads-shared.x86_64                    1.58-2.el8                              @ubi-8-baseos   
pkgconf.x86_64                                1.4.2-1.el8                             @ubi-8-baseos   
pkgconf-m4.noarch                             1.4.2-1.el8                             @ubi-8-baseos   
pkgconf-pkg-config.x86_64                     1.4.2-1.el8                             @ubi-8-baseos   
platform-python.x86_64                        3.6.8-41.el8                            @System         
platform-python-pip.noarch                    9.0.3-20.el8                            @ubi-8-baseos   
platform-python-setuptools.noarch             39.2.0-6.el8                            @System         
popt.x86_64                                   1.18-1.el8                              @System         
procps-ng.x86_64                              3.3.15-6.el8                            @ubi-8-baseos   
publicsuffix-list-dafsa.noarch                20180723-1.el8                          @System         
python3-chardet.noarch                        3.0.4-7.el8                             @System         
python3-cloud-what.x86_64                     1.28.21-3.el8                           @System         
python3-dateutil.noarch                       1:2.6.1-6.el8                           @System         
python3-dbus.x86_64                           1.2.4-15.el8                            @System         
python3-decorator.noarch                      4.2.1-2.el8                             @System         
python3-dmidecode.x86_64                      3.12.2-15.el8                           @System         
python3-dnf.noarch                            4.7.0-4.el8                             @System         
python3-dnf-plugins-core.noarch               4.0.21-4.el8_5                          @ubi-8-baseos   
python3-ethtool.x86_64                        0.14-3.el8                              @System         
python3-gobject-base.x86_64                   3.28.3-2.el8                            @System         
python3-gpg.x86_64                            1.13.1-9.el8                            @System         
python3-hawkey.x86_64                         0.63.0-3.el8                            @System         
python3-idna.noarch                           2.5-5.el8                               @System         
python3-iniparse.noarch                       0.4-31.el8                              @System         
python3-inotify.noarch                        0.9.6-13.el8                            @System         
python3-libcomps.x86_64                       0.1.16-2.el8                            @System         
python3-libdnf.x86_64                         0.63.0-3.el8                            @System         
python3-librepo.x86_64                        1.14.0-2.el8                            @System         
python3-libs.x86_64                           3.6.8-41.el8                            @System         
python3-libxml2.x86_64                        2.9.7-9.el8_4.2                         @System         
python3-pip.noarch                            9.0.3-20.el8                            @ubi-8-appstream
python3-pip-wheel.noarch                      9.0.3-20.el8                            @System         
python3-pysocks.noarch                        1.6.8-3.el8                             @System         
python3-requests.noarch                       2.20.0-2.1.el8_1                        @System         
python3-rpm.x86_64                            4.14.3-19.el8_5.2                       @ubi-8-baseos   
python3-setuptools.noarch                     39.2.0-6.el8                            @ubi-8-baseos   
python3-setuptools-wheel.noarch               39.2.0-6.el8                            @System         
python3-six.noarch                            1.11.0-8.el8                            @System         
python3-subscription-manager-rhsm.x86_64      1.28.21-3.el8                           @System         
python3-syspurpose.x86_64                     1.28.21-3.el8                           @System         
python3-urllib3.noarch                        1.24.2-5.el8                            @System         
python36.x86_64                               3.6.8-38.module+el8.5.0+12207+5c5719bc  @ubi-8-appstream
rdma-core.x86_64                              35.0-1.el8                              @ubi-8-baseos   
readline.x86_64                               7.0-10.el8                              @System         
redhat-release.x86_64                         8.5-0.8.el8                             @System         
rootfiles.noarch                              8.1-22.el8                              @System         
rpm.x86_64                                    4.14.3-19.el8_5.2                       @ubi-8-baseos   
rpm-build-libs.x86_64                         4.14.3-19.el8_5.2                       @ubi-8-baseos   
rpm-libs.x86_64                               4.14.3-19.el8_5.2                       @ubi-8-baseos   
rsync.x86_64                                  3.1.3-12.el8                            @ubi-8-baseos   
rust.x86_64                                   1.54.0-3.module+el8.5.0+13074+d655d86c  @ubi-8-appstream
rust-std-static.x86_64                        1.54.0-3.module+el8.5.0+13074+d655d86c  @ubi-8-appstream
sed.x86_64                                    4.5-2.el8                               @System         
setup.noarch                                  2.12.2-6.el8                            @System         
shadow-utils.x86_64                           2:4.6-14.el8                            @System         
sqlite-libs.x86_64                            3.26.0-15.el8                           @System         
subscription-manager.x86_64                   1.28.21-3.el8                           @System         
subscription-manager-rhsm-certificates.x86_64 1.28.21-3.el8                           @System         
sudo.x86_64                                   1.8.29-7.el8_4.1                        @ubi-8-baseos   
